nama_kabupaten_kota,tahun,indeks_keparahan_kemiskinan,indeks_kedalaman_kemiskinan,persentase_penduduk_miskin,indeks_kesehatan,indeks_pembangunan_manusia,persentase_penduduk_mempunyai_keluhan_kesehatan,jumlah_ibu_hamil,jumlah_ibu_hamil_konseling_gizi,jumlah_ibu_hamil_dengan_akses_air_minum_aman,jumlah_ibu_hamil_dengan_akses_jamban_layak,jumlah_ibu_hamil_dengan_jaminan_kesehatan,jumlah_ibu_hamil_periksa_4_kali,jumlah_sasaran_konvergensi_ibu_hamil,jumlah_realisasi_konvergensi_ibu_hamil,jumlah_ibu_hamil_anemia,jumlah_ibu_hamil_mengalami_kek,jumlah_ibu_hamil_kek_dapat_kunjungan,kumulatif_kek,kumulatif_kunjungan_kek,jumlah_ibu_hamil_resti,jumlah_ibu_hamil_resti_kunjungan,kumulatif_resti,kumulatif_kunjungan_resti,jumlah_kejadian_kematian_ibu_saat_persalinan_x,persentase_persalinan_di_fasyankes,persentase_persalinan_ditolong_nakes,jumlah_kejadian_kematian_ibu_saat_persalinan_y,jumlah_desa_dengan_rumah_singgah,jumlah_desa_tanpa_rumah_singgah,jumlah_bayi_dapat_imunisasi_bcg,jumlah_bayi_dapat_imunisasi_dasar_lengkap,persentase_pemberian_asi_eksklusif,jumlah_bayi_bblr_2016_2021,jumlah_bayi_lahir_tanpa_bblr_2019,jumlah_bayi_bblr_2019,jumlah_kematian_bayi_bblr_2019,jumlah_bayi_lahir,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,kasus_diare_terlayani,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_kasus_difteri,jumlah_kasus_hepatitis_b,jumlah_kasus_pertusis,jumlah_kasus_suspek_campak,jumlah_kasus_tetanus_neonatarum,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_gizi_kurang,jumlah_balita_stunting,persentase_balita_stunting,jumlah_kejadian_kematian_balita
KABUPATEN TASIKMALAYA,2018-01-01,0.23,1.19,0.0985,75.32,65.0,0.3172,32657.0,,,,,,,,2232.0,,,,,,,,,,,,,,,17153.0,,1.1495,1057.0,,,,30778.0,,,,,,,,,,,,,,,,,,,,18644.0,0.15710000000000002,
KABUPATEN CIAMIS,2018-01-01,0.26,1.18,0.0722,78.95,69.63,0.3084,23350.0,,,,,,,,2822.0,,,,,,,,,,,,,,,10590.0,,0.4822,896.0,,,,19576.0,,,,,,,,,,,,,,,,,,,,4847.0,0.0647,
KABUPATEN KUNINGAN,2018-01-01,0.4,1.73,0.1222,81.71,68.55,0.4051,19514.0,,,,,,,,3887.0,,,,,,,,,,,,,,,19579.0,,0.0,1270.0,,,,19875.0,,,,,,,,,,,,,,,,,,,,5906.0,0.0819,
KABUPATEN CIREBON,2018-01-01,0.55,2.04,0.107,79.48,68.05,0.3536,50176.0,,,,,,,,5679.0,,,,,,,,,,,,,,,48319.0,,0.5526,1504.0,,,,47886.0,,,,,,,,,,,,,,,,,,,,11082.0,0.1029,
KABUPATEN MAJALENGKA,2018-01-01,0.51,1.96,0.1079,76.43,66.72,0.2916,21020.0,,,,,,,,1237.0,,,,,,,,,,,,,,,10483.0,,0.8536,917.0,,,,20692.0,,,,,,,,,,,,,,,,,,,,1958.0,0.0222,
KABUPATEN SUMEDANG,2018-01-01,0.47,1.72,0.0976,80.22,70.99,0.307,19631.0,,,,,,,,1799.0,,,,,,,,,,,,,,,19395.0,,0.6284000000000001,593.0,,,,19312.0,,,,,,,,,,,,,,,,,,,,8032.0,0.0995,
KABUPATEN INDRAMAYU,2018-01-01,0.6,2.23,0.1189,78.63,66.36,0.2965,29942.0,,,,,,,,4012.0,,,,,,,,,,,,,,,33558.0,,0.2914,0.0,,,,34846.0,,,,,,,,,,,,,,,,,,,,25558.0,0.2051,
KABUPATEN SUBANG,2018-01-01,0.51,1.7,0.0867,79.88,68.31,0.2331,35848.0,,,,,,,,2881.0,,,,,,,,,,,,,,,30998.0,,0.6133,55.0,,,,31103.0,,,,,,,,,,,,,,,,,,,,3741.0,0.0326,
KABUPATEN PURWAKARTA,2018-01-01,0.16,0.87,0.0799,77.86,69.98,0.3689,19662.0,,,,,,,,2094.0,,,,,,,,,,,,,,,18073.0,,0.4129,370.0,,,,19172.0,,,,,,,,,,,,,,,,,,,,5953.0,0.0782,
KABUPATEN KARAWANG,2018-01-01,0.3,1.21,0.0806,79.71,69.89,0.2305,45558.0,,,,,,,,4023.0,,,,,,,,,,,,,,,44815.0,,0.185,1123.0,,,,44031.0,,,,,,,,,,,,,,,,,,,,18436.0,0.1875,
KABUPATEN BEKASI,2018-01-01,0.15,0.65,0.0437,82.2,73.49,0.2468,81869.0,,,,,,,,719.0,,,,,,,,,,,,,,,74419.0,,0.2962,399.0,,,,72886.0,,,,,,,,,,,,,,,,,,,,6045.0,0.047699999999999985,
KABUPATEN BANDUNG BARAT,2018-01-01,0.35,1.45,0.1006,80.05,67.46,0.2808,34613.0,,,,,,,,2554.0,,,,,,,,,,,,,,,30375.0,,0.5511,1057.0,,,,29991.0,,,,,,,,,,,,,,,,,,,,7578.0,0.0694,
KABUPATEN PANGANDARAN,2018-01-01,0.3,1.24,0.0812,78.22,67.44,0.4064,6478.0,,,,,,,,933.0,,,,,,,,,,,,,,,5961.0,,0.8786,271.0,,,,6156.0,,,,,,,,,,,,,,,,,,,,634.0,0.0647,
KOTA BOGOR,2018-01-01,0.17,0.77,0.0593,81.86,75.66,0.2431,21113.0,,,,,,,,2027.0,,,,,,,,,,,,,,,19452.0,,0.4995000000000001,348.0,,,,19699.0,,,,,,,,,,,,,,,,,,,,4050.0,0.048,
KOTA SUKABUMI,2018-01-01,0.26,1.09,0.0712,80.17,73.55,0.2317,6381.0,,,,,,,,641.0,,,,,,,,,,,,,,,5530.0,,0.6516,221.0,,,,6021.0,,,,,,,,,,,,,,,,,,,,2826.0,0.1213,
KOTA BANDUNG,2018-01-01,0.11,0.48,0.0357,83.08,81.06,0.3386,44422.0,,,,,,,,633.0,,,,,,,,,,,,,,,43662.0,,0.4401,889.0,,,,41043.0,,,,,,,,,,,,,,,,,,,,10048.0,0.0756,
KOTA CIREBON,2018-01-01,0.19,0.99,0.0888,79.98,74.35,0.3461,5834.0,,,,,,,,675.0,,,,,,,,,,,,,,,5255.0,,0.4939,207.0,,,,5680.0,,,,,,,,,,,,,,,,,,,,2253.0,0.101,
KOTA BEKASI,2018-01-01,0.18,0.72,0.041100000000000005,84.25,81.04,0.26890000000000003,56551.0,,,,,,,,2578.0,,,,,,,,,,,,,,,28110.0,,0.1568,306.0,,,,47338.0,,,,,,,,,,,,,,,,,,,,8087.0,0.1818,
KOTA DEPOK,2018-01-01,0.06,0.31,0.0214,83.34,80.29,0.2733,47550.0,,,,,,,,3577.0,,,,,,,,,,,,,,,43934.0,,0.3236,436.0,,,,43268.0,,,,,,,,,,,,,,,,,,,,6751.0,0.0541,
KOTA CIMAHI,2018-01-01,0.23,0.84,0.049400000000000006,82.69,77.56,0.30820000000000003,11713.0,,,,,,,,282.0,,,,,,,,,,,,,,,10677.0,,0.17329999999999998,293.0,,,,10827.0,,,,,,,,,,,,,,,,,,,,3585.0,0.0975,
KOTA TASIKMALAYA,2018-01-01,0.31,1.52,0.12710000000000002,79.54,72.03,0.3243,13265.0,,,,,,,,1549.0,,,,,,,,,,,,,,,12110.0,,0.5600999999999999,0.0,,,,12020.0,,,,,,,,,,,,,,,,,,,,5149.0,0.1079,
KOTA BANJAR,2018-01-01,0.19,0.79,0.057,77.83,71.25,0.386,3238.0,,,,,,,,457.0,,,,,,,,,,,,,,,3126.0,,0.4318,0.0,,,,3012.0,,,,,,,,,,,,,,,,,,,,1054.0,0.0824,
KABUPATEN BOGOR,2019-01-01,0.15,0.83,0.0666,78.48,70.65,0.3294,128293.0,22363.0,39759.0,40252.0,33353.0,38489.0,4163.0,3356.0,7002.0,1802.0,1536.0,1802.0,1536.0,3693.0,2921.0,3693.0,2921.0,217.0,0.889,0.899,217.0,75.0,341.0,113376.0,76401.0,0.5312,1633.0,116562.0,1586.0,47.0,118195.0,20999.0,16179.0,86706.0,48589.0,7269.0,56.0,0.0,26985.0,10.0,0.0,5.0,5.0,0.0,77873.0,54171.0,70965.0,2507.0,800.0,20999.0,18752.0,0.0406,193.0
KABUPATEN SUKABUMI,2019-01-01,0.11,0.66,0.0622,78.05,66.87,0.2897,48541.0,17468.0,23112.0,21966.0,22308.0,26195.0,3442.0,3216.0,3923.0,2292.0,1962.0,2292.0,1962.0,3331.0,2937.0,3331.0,2937.0,31.0,0.9259999999999999,0.982,31.0,92.0,289.0,,,0.5715,,,,,52793.0,8016.0,6641.0,11352.0,35307.0,4506.0,400.0,8.0,11492.0,28.0,0.0,0.0,0.0,0.0,78924.0,28396.0,53908.0,2427.0,1181.0,8016.0,15583.0,0.08289999999999999,100.0
KABUPATEN CIANJUR,2019-01-01,0.11,0.74,0.0915,76.78,65.38,0.4024,45277.0,10580.0,12538.0,11636.0,9868.0,14324.0,4068.0,3714.0,1998.0,777.0,613.0,777.0,613.0,1708.0,1585.0,1708.0,1585.0,52.0,0.868,0.95,52.0,91.0,263.0,37461.0,34236.0,0.6878,1143.0,39983.0,1121.0,22.0,41126.0,8553.0,3570.0,10017.0,21257.0,4243.0,47.0,0.0,10812.0,0.0,0.0,0.0,0.0,0.0,36879.0,18085.0,27429.0,1618.0,834.0,8553.0,12761.0,0.0661,82.0
KABUPATEN BANDUNG,2019-01-01,0.28,1.04,0.0594,82.15,72.41,0.2869,79389.0,16739.0,23292.0,22912.0,15887.0,25349.0,2367.0,2185.0,7197.0,1566.0,1202.0,1566.0,1202.0,2821.0,2455.0,2821.0,2455.0,95.0,0.927,0.927,95.0,100.0,170.0,68953.0,55008.0,0.6384000000000001,1976.0,65791.0,1933.0,43.0,67767.0,12706.0,3954.0,15020.0,25114.0,7614.0,735.0,1.0,17174.0,7.0,0.0,0.0,0.0,0.0,57660.0,31049.0,49998.0,2943.0,1638.0,12706.0,19121.0,0.0732,97.0
KABUPATEN GARUT,2019-01-01,0.16,0.87,0.0898,78.8,66.22,0.3741,55955.0,14068.0,24427.0,19981.0,15158.0,23231.0,3630.0,3137.0,6669.0,1920.0,1414.0,1920.0,1414.0,2772.0,2533.0,2772.0,2533.0,84.0,0.8009999999999999,0.955,84.0,103.0,318.0,,,0.7432,,,,,53828.0,7718.0,3682.0,9255.0,25711.0,8011.0,363.0,0.0,11780.0,0.0,0.0,0.0,0.0,0.0,83767.0,33078.0,45388.0,2333.0,877.0,7718.0,9723.0,0.048,167.0
KABUPATEN TASIKMALAYA,2019-01-01,0.12,0.84,0.0912,75.71,65.64,0.3713,31560.0,10816.0,13415.0,10839.0,7270.0,14109.0,3436.0,2877.0,2791.0,1341.0,1374.0,1341.0,1374.0,2468.0,2141.0,2468.0,2141.0,44.0,0.917,1.0,44.0,107.0,244.0,30810.0,25970.0,0.6677,1161.0,29563.0,1103.0,58.0,30724.0,8865.0,2971.0,17254.0,8763.0,3823.0,79.0,0.0,8143.0,1.0,0.0,0.0,11.0,0.0,32285.0,13600.0,24282.0,1734.0,795.0,8865.0,17254.0,0.1506,117.0
KABUPATEN CIAMIS,2019-01-01,0.14,0.76,0.0665,79.34,70.39,0.392,18940.0,5573.0,7712.0,7447.0,6049.0,8087.0,3311.0,2169.0,3063.0,664.0,556.0,664.0,556.0,1187.0,1204.0,1187.0,1204.0,14.0,1.0,1.0,14.0,100.0,158.0,18379.0,15657.0,0.4596,797.0,18349.0,772.0,25.0,19146.0,306.0,1613.0,614.0,10627.0,5008.0,64.0,0.0,5492.0,0.0,0.0,0.0,0.0,0.0,20366.0,9279.0,16780.0,1240.0,650.0,306.0,4254.0,0.0733,48.0
KABUPATEN KUNINGAN,2019-01-01,0.18,1.24,0.1141,82.08,69.12,0.4223,19196.0,11532.0,14969.0,15080.0,11768.0,13994.0,3522.0,3239.0,3522.0,1200.0,1319.0,1200.0,1319.0,2365.0,1952.0,2365.0,1952.0,56.0,1.0,1.0,56.0,113.0,248.0,19381.0,25871.0,0.7492,1146.0,18308.0,1123.0,23.0,19454.0,4088.0,2270.0,5553.0,9579.0,2229.0,48.0,0.0,4993.0,3.0,83.0,4.0,15.0,0.0,40173.0,18364.0,27528.0,1128.0,1453.0,4088.0,5553.0,0.084,55.0
KABUPATEN CIREBON,2019-01-01,0.26,1.29,0.0994,79.72,68.69,0.454,39998.0,16559.0,23333.0,23422.0,20076.0,24661.0,3552.0,3175.0,5655.0,2462.0,1841.0,2462.0,1841.0,3164.0,3225.0,3164.0,3225.0,88.0,0.956,0.96,88.0,136.0,276.0,48457.0,52661.0,0.718,1608.0,46806.0,1568.0,40.0,48414.0,13743.0,6098.0,14127.0,20893.0,10776.0,42.0,1.0,10058.0,0.0,0.0,1.0,0.0,0.0,56729.0,39316.0,52159.0,3455.0,1370.0,13743.0,14127.0,0.0793,174.0
KABUPATEN MAJALENGKA,2019-01-01,0.28,1.39,0.1006,76.88,67.52,0.3453,20647.0,11543.0,13559.0,13274.0,10916.0,13679.0,2807.0,2629.0,1067.0,632.0,1019.0,632.0,1019.0,1597.0,1580.0,1597.0,1580.0,52.0,1.0,1.0,52.0,98.0,232.0,20287.0,24118.0,0.7666,833.0,19604.0,815.0,18.0,20437.0,4220.0,2133.0,3905.0,11818.0,4531.0,146.0,0.0,5567.0,0.0,0.0,0.0,0.0,0.0,27898.0,17743.0,25181.0,1116.0,805.0,4220.0,4642.0,0.0527,83.0
KABUPATEN SUMEDANG,2019-01-01,0.21,1.05,0.0905,80.45,71.46,0.2682,19230.0,6599.0,7660.0,7634.0,5746.0,7861.0,2726.0,2457.0,1536.0,723.0,631.0,723.0,631.0,870.0,835.0,870.0,835.0,8.0,1.0,1.0,8.0,124.0,146.0,18983.0,12215.0,0.7866,555.0,18258.0,525.0,30.0,18813.0,4237.0,1676.0,6780.0,8215.0,3979.0,257.0,0.0,5324.0,0.0,0.0,0.0,0.0,0.0,16407.0,10361.0,14560.0,1267.0,861.0,4237.0,6780.0,0.0877,53.0
KABUPATEN INDRAMAYU,2019-01-01,0.4,1.66,0.1111,79.03,66.97,0.3978,29476.0,8999.0,13678.0,13794.0,10267.0,12700.0,2465.0,2250.0,9700.0,297.0,507.0,297.0,507.0,652.0,489.0,652.0,489.0,59.0,1.0,1.0,59.0,76.0,233.0,35587.0,25554.0,0.5768,1081.0,33504.0,966.0,115.0,34585.0,13640.0,10369.0,20255.0,10859.0,6602.0,177.0,0.0,11102.0,0.0,0.0,0.0,0.0,0.0,26848.0,17588.0,27491.0,503.0,638.0,13640.0,19458.0,0.1539,126.0
KABUPATEN SUBANG,2019-01-01,0.34,1.39,0.0812,80.2,68.69,0.2917,26669.0,9393.0,12666.0,12550.0,8684.0,13007.0,2020.0,1823.0,2315.0,671.0,935.0,671.0,935.0,1269.0,2388.0,1269.0,2388.0,20.0,1.0,1.0,20.0,78.0,167.0,31825.0,20785.0,0.4894,604.0,31314.0,585.0,19.0,31918.0,3974.0,1892.0,2476.0,15731.0,4885.0,21.0,0.0,7037.0,0.0,0.0,0.0,0.0,0.0,262919.0,13051.0,24617.0,1352.0,1603.0,3974.0,2476.0,0.022,71.0
KABUPATEN PURWAKARTA,2019-01-01,0.28,1.24,0.0748,78.15,70.67,0.4449,19483.0,3526.0,7016.0,6840.0,5982.0,6485.0,1657.0,1496.0,2200.0,383.0,354.0,383.0,354.0,631.0,703.0,631.0,703.0,18.0,0.9279999999999999,1.0,18.0,39.0,144.0,18091.0,13878.0,0.5656,454.0,18819.0,435.0,19.0,19273.0,2622.0,669.0,2453.0,12060.0,3653.0,23.0,1.0,4453.0,2.0,0.0,0.0,14.0,0.0,15610.0,9290.0,11156.0,554.0,969.0,2622.0,3451.0,0.046,54.0
KABUPATEN KARAWANG,2019-01-01,0.24,1.06,0.0739,79.97,70.86,0.2725,45032.0,7313.0,9783.0,9189.0,8834.0,11810.0,2611.0,2361.0,8116.0,530.0,556.0,530.0,556.0,1241.0,1114.0,1241.0,1114.0,37.0,1.0,1.0,37.0,82.0,215.0,44190.0,30848.0,0.6049,1105.0,43745.0,1040.0,65.0,44850.0,4310.0,3354.0,3654.0,23828.0,5494.0,230.0,0.0,10100.0,3.0,0.0,0.0,23.0,0.0,26163.0,21156.0,20675.0,1897.0,857.0,4310.0,4940.0,0.0417,103.0
KABUPATEN BEKASI,2019-01-01,0.15,0.6,0.0401,82.4,73.99,0.2507,83495.0,4539.0,9264.0,9021.0,7373.0,10749.0,1360.0,1224.0,861.0,232.0,450.0,232.0,450.0,843.0,763.0,843.0,763.0,42.0,0.9670000000000001,1.0,42.0,36.0,144.0,76605.0,15299.0,0.5695,443.0,79291.0,435.0,8.0,79734.0,7948.0,5153.0,7838.0,14503.0,2136.0,40.0,0.0,12201.0,7.0,0.0,0.0,23.0,0.0,22016.0,19789.0,15039.0,351.0,206.0,7948.0,7436.0,0.0342,141.0
KABUPATEN BANDUNG BARAT,2019-01-01,0.33,1.54,0.0938,80.28,68.27,0.3099,34276.0,6800.0,10232.0,9836.0,9052.0,12171.0,1525.0,1390.0,3314.0,411.0,277.0,411.0,277.0,822.0,570.0,822.0,570.0,17.0,0.871,0.883,17.0,61.0,104.0,0.0,27029.0,0.7212000000000001,723.0,29614.0,644.0,79.0,30337.0,6130.0,1684.0,8151.0,9406.0,2497.0,27.0,3.0,7404.0,0.0,0.0,0.0,0.0,0.0,46299.0,20436.0,26916.0,952.0,740.0,6130.0,9322.0,0.076,82.0
KABUPATEN PANGANDARAN,2019-01-01,0.16,0.9,0.0771,78.65,68.21,0.473,6358.0,1844.0,2039.0,2021.0,1669.0,2106.0,716.0,653.0,920.0,66.0,63.0,66.0,63.0,173.0,133.0,173.0,133.0,10.0,0.992,1.0,10.0,37.0,56.0,5917.0,3771.0,0.9033,192.0,5882.0,182.0,10.0,6074.0,773.0,39.0,853.0,2371.0,778.0,8.0,0.0,2041.0,0.0,0.0,0.0,0.0,0.0,5022.0,2363.0,4428.0,340.0,129.0,773.0,7863.0,0.2167,22.0
KOTA BOGOR,2019-01-01,0.18,0.72,0.0577,82.17,76.23,0.3155,21010.0,,,,,,,,2218.0,,,,,,,,,,,,,,,19445.0,,0.5474,243.0,19952.0,220.0,23.0,20195.0,3859.0,2047.0,3192.0,9269.0,3618.0,30.0,0.0,5069.0,10.0,140.0,3.0,127.0,2.0,,,,,,3859.0,3757.0,0.0454,
KOTA SUKABUMI,2019-01-01,0.32,1.08,0.0667,80.4,74.31,0.2584,6301.0,,,,,,,,539.0,,,,,,,,,,,,,,,5801.0,,0.7739,297.0,5779.0,292.0,5.0,6076.0,1333.0,634.0,1683.0,5616.0,1374.0,22.0,0.0,1593.0,2.0,26.0,0.0,29.0,0.0,,,,,,1333.0,2069.0,0.0931,
KOTA BANDUNG,2019-01-01,0.14,0.53,0.0338,83.29,81.62,0.31370000000000003,43647.0,,,,,,,,1649.0,,,,,,,,,,,,,,,41884.0,,0.6840999999999999,925.0,40909.0,882.0,43.0,41834.0,7959.0,3999.0,8121.0,21412.0,8098.0,487.0,3.0,11567.0,8.0,0.0,2.0,4.0,1.0,,,,,,7959.0,8121.0,0.0653,
KOTA CIREBON,2019-01-01,0.26,1.23,0.08410000000000001,80.2,74.92,0.4256,5773.0,,,,,,,,753.0,,,,,,,,,,,,,,,5240.0,,1.0966,196.0,5295.0,193.0,3.0,5491.0,2229.0,2472.0,874.0,6717.0,2037.0,11.0,1.0,1475.0,12.0,0.0,0.0,41.0,0.0,,,,,,2229.0,2411.0,0.1121,
KOTA BEKASI,2019-01-01,0.1,0.47,0.0381,84.45,81.59,0.3065,56937.0,,,,,,,,2214.0,,,,,,,,,,,,,,,50656.0,,0.3381,273.0,49272.0,264.0,9.0,49545.0,5797.0,4955.0,8010.0,8368.0,2801.0,56.0,0.0,13924.0,25.0,45.0,0.0,32.0,0.0,,,,,,5797.0,11737.0,0.1069,
KOTA DEPOK,2019-01-01,0.04,0.24,0.0207,83.55,80.82,0.3104,48242.0,,,,,,,,4163.0,,,,,,,,,,,,,,,43681.0,,0.6643000000000001,385.0,43471.0,363.0,22.0,43856.0,5450.0,3021.0,5241.0,7116.0,1694.0,29.0,0.0,11120.0,0.0,0.0,0.0,0.0,0.0,,,,,,5450.0,5241.0,0.0455,
KOTA CIMAHI,2019-01-01,0.14,0.6,0.0439,82.91,78.11,0.3129,11623.0,,,,,,,,430.0,,,,,,,,,,,,,,,10624.0,,0.4773,333.0,10472.0,315.0,18.0,10805.0,2014.0,888.0,3269.0,3852.0,1371.0,18.0,0.0,2718.0,2.0,0.0,0.0,15.0,0.0,,,,,,2014.0,3269.0,0.0906,
KOTA TASIKMALAYA,2019-01-01,0.53,1.98,0.116,79.89,72.84,0.2088,12413.0,,,,,,,,1389.0,,,,,,,,,,,,,,,11217.0,,0.6831,369.0,11341.0,348.0,21.0,11710.0,3738.0,1679.0,5373.0,5052.0,1686.0,51.0,1.0,3047.0,0.0,0.0,0.0,0.0,0.0,,,,,,3738.0,5373.0,0.1095,
KOTA BANJAR,2019-01-01,0.1,0.57,0.055,78.14,,0.3163,3171.0,539.0,435.0,390.0,670.0,1065.0,71.0,62.0,622.0,16.0,16.0,16.0,16.0,29.0,89.0,29.0,89.0,0.0,1.0,1.0,0.0,6.0,10.0,3037.0,807.0,0.8318000000000001,129.0,2902.0,122.0,7.0,3031.0,968.0,523.0,962.0,2717.0,569.0,4.0,1.0,935.0,0.0,0.0,0.0,4.0,0.0,1380.0,717.0,1397.0,35.0,6.0,968.0,962.0,0.0761,0.0
