nama_kabupaten_kota,tahun,indeks_keparahan_kemiskinan,indeks_kedalaman_kemiskinan,persentase_penduduk_miskin,indeks_kesehatan,indeks_pembangunan_manusia,persentase_penduduk_mempunyai_keluhan_kesehatan,jumlah_ibu_hamil,jumlah_ibu_hamil_konseling_gizi,jumlah_ibu_hamil_dengan_akses_air_minum_aman,jumlah_ibu_hamil_dengan_akses_jamban_layak,jumlah_ibu_hamil_dengan_jaminan_kesehatan,jumlah_ibu_hamil_periksa_4_kali,jumlah_sasaran_konvergensi_ibu_hamil,jumlah_realisasi_konvergensi_ibu_hamil,jumlah_ibu_hamil_anemia,jumlah_ibu_hamil_mengalami_kek,jumlah_ibu_hamil_kek_dapat_kunjungan,kumulatif_kek,kumulatif_kunjungan_kek,jumlah_ibu_hamil_resti,jumlah_ibu_hamil_resti_kunjungan,kumulatif_resti,kumulatif_kunjungan_resti,jumlah_kejadian_kematian_ibu_saat_persalinan_x,persentase_persalinan_di_fasyankes,persentase_persalinan_ditolong_nakes,jumlah_kejadian_kematian_ibu_saat_persalinan_y,jumlah_desa_dengan_rumah_singgah,jumlah_desa_tanpa_rumah_singgah,jumlah_bayi_dapat_imunisasi_bcg,jumlah_bayi_dapat_imunisasi_dasar_lengkap,persentase_pemberian_asi_eksklusif,jumlah_bayi_bblr_2016_2021,jumlah_bayi_lahir_tanpa_bblr_2019,jumlah_bayi_bblr_2019,jumlah_kematian_bayi_bblr_2019,jumlah_bayi_lahir,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,kasus_diare_terlayani,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_kasus_difteri,jumlah_kasus_hepatitis_b,jumlah_kasus_pertusis,jumlah_kasus_suspek_campak,jumlah_kasus_tetanus_neonatarum,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_gizi_kurang,jumlah_balita_stunting,persentase_balita_stunting,jumlah_kejadian_kematian_balita
KABUPATEN BOGOR,2020-01-01,0.11,0.83,0.07690000000000001,78.72,70.4,0.3264,128743.0,29018.0,45514.0,46433.0,39307.0,42400.0,46395.0,19413.0,4968.0,2000.0,2552.0,3802.0,4088.0,3620.0,3592.0,7313.0,6513.0,110.0,,,,,,101947.0,85561.0,0.5106,1790.0,,,,113665.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,108082.0,68871.0,95429.0,3045.0,733.0,21322.0,34020.0,0.1147,170.0
KABUPATEN SUKABUMI,2020-01-01,0.12,0.8,0.0709,78.42,66.88,0.3104,47673.0,19089.0,24806.0,23713.0,20876.0,25509.0,28425.0,12826.0,3845.0,2245.0,2140.0,4537.0,4102.0,3008.0,2674.0,6339.0,5611.0,26.0,,,,,,39492.0,46940.0,0.7111,2033.0,,,,46999.0,,,,,,,,,18.0,0.0,0.0,0.0,0.0,83988.0,35708.0,58807.0,3343.0,1198.0,8838.0,14106.0,0.0689,69.0
KABUPATEN CIANJUR,2020-01-01,0.27,1.38,0.1036,77.12,65.36,0.3758,44426.0,14915.0,18087.0,16635.0,12984.0,17785.0,20610.0,7663.0,1295.0,1554.0,1979.0,2331.0,2592.0,1966.0,1592.0,3674.0,3177.0,26.0,,,,,,32276.0,45367.0,0.7103,1143.0,,,,47324.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,56044.0,29807.0,46900.0,1557.0,366.0,9069.0,11680.0,0.064,65.0
KABUPATEN BANDUNG,2020-01-01,0.17,0.92,0.0691,82.35,72.39,0.26780000000000004,79131.0,17609.0,24386.0,22998.0,18196.0,22762.0,25870.0,12623.0,3815.0,1473.0,1470.0,3039.0,2672.0,2189.0,2021.0,5010.0,4476.0,36.0,,,,,,63307.0,56208.0,0.6325,1783.0,,,,66974.0,,,,,,,,,7.0,0.0,0.0,2.0,0.0,75067.0,40941.0,67025.0,3294.0,1091.0,13728.0,29581.0,0.1577,70.0
KABUPATEN GARUT,2020-01-01,0.15,0.97,0.0998,79.09,66.12,0.3542,55188.0,17031.0,26935.0,22740.0,18586.0,24974.0,26303.0,10820.0,5901.0,2237.0,1753.0,4157.0,3167.0,2996.0,2677.0,5768.0,5210.0,52.0,,,,,,46789.0,51872.0,0.687,1107.0,,,,52621.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,91067.0,37820.0,56872.0,2159.0,875.0,9128.0,13523.0,0.0639,138.0
KABUPATEN TASIKMALAYA,2020-01-01,0.11,0.83,0.1034,76.11,65.67,0.342,30912.0,10597.0,13267.0,11307.0,8742.0,13477.0,15189.0,5137.0,2682.0,1508.0,1556.0,2849.0,2930.0,2789.0,1939.0,5257.0,4080.0,41.0,,,,,,29644.0,28718.0,0.758,1166.0,,,,30506.0,,,,,,,,,0.0,0.0,0.0,12.0,0.0,38378.0,18622.0,30926.0,2712.0,1002.0,9275.0,18952.0,0.1897,118.0
KABUPATEN CIAMIS,2020-01-01,0.16,0.92,0.0762,79.74,70.49,0.3563,18589.0,6740.0,9172.0,8717.0,7017.0,8542.0,9809.0,4482.0,2204.0,778.0,739.0,1442.0,1295.0,967.0,1042.0,2154.0,2246.0,16.0,,,,,,,16477.0,0.9882,863.0,,,,16899.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,24710.0,11697.0,20077.0,1478.0,498.0,4810.0,7688.0,0.1124,50.0
KABUPATEN KUNINGAN,2020-01-01,0.62,2.41,0.1282,82.45,69.38,0.3618,18884.0,8349.0,10126.0,9974.0,7973.0,9392.0,10341.0,6396.0,2871.0,871.0,902.0,2071.0,2221.0,1193.0,1090.0,3558.0,3042.0,57.0,,,,,,18456.0,24904.0,0.7667,1119.0,,,,19370.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,30077.0,21383.0,28440.0,805.0,332.0,4265.0,5298.0,0.07980000000000001,37.0
KABUPATEN CIREBON,2020-01-01,0.24,1.3,0.1124,79.98,68.75,0.3396,39534.0,17330.0,24717.0,27339.0,20786.0,24967.0,27939.0,13083.0,4105.0,1870.0,2109.0,4332.0,3950.0,2768.0,2886.0,5932.0,6111.0,75.0,,,,,,46167.0,52460.0,0.7239,1412.0,,,,47620.0,,,,,,,,,0.0,0.0,1.0,76.0,0.0,62610.0,44623.0,55693.0,3351.0,964.0,15737.0,21733.0,0.1389,162.0
KABUPATEN MAJALENGKA,2020-01-01,0.25,1.41,0.1143,77.34,67.59,0.3105,20284.0,10110.0,12469.0,12246.0,10560.0,17710.0,12272.0,6116.0,895.0,869.0,995.0,1501.0,2014.0,1070.0,1100.0,2667.0,2680.0,21.0,,,,,,20040.0,23052.0,1.7231999999999998,955.0,,,,21030.0,,,,,,,,,0.0,0.0,0.0,7.0,0.0,31575.0,20186.0,31632.0,1330.0,552.0,4549.0,4381.0,0.0529,51.0
KABUPATEN SUMEDANG,2020-01-01,0.42,1.72,0.1026,80.66,71.64,0.3145,18834.0,6664.0,8153.0,8022.0,6200.0,8024.0,8630.0,4645.0,1058.0,727.0,805.0,1450.0,1436.0,715.0,757.0,1585.0,1592.0,9.0,,,,,,19488.0,15838.0,0.8208,537.0,,,,19156.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,21211.0,13444.0,19147.0,1074.0,560.0,5784.0,8870.0,0.1191,40.0
KABUPATEN INDRAMAYU,2020-01-01,0.56,2.18,0.127,79.43,67.29,0.3697,29020.0,9007.0,12969.0,13141.0,11750.0,12846.0,15219.0,7115.0,2161.0,284.0,1052.0,581.0,1559.0,685.0,479.0,1337.0,968.0,41.0,,,,,,26382.0,30759.0,0.6282,1081.0,,,,30154.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,32354.0,22789.0,35912.0,696.0,181.0,5218.0,11166.0,0.1023,129.0
KABUPATEN SUBANG,2020-01-01,0.25,1.29,0.0931,80.54,68.95,0.2842,26363.0,10110.0,14134.0,12545.0,9266.0,14531.0,13146.0,6604.0,2585.0,810.0,888.0,1481.0,1823.0,1307.0,2010.0,2576.0,4398.0,24.0,,,,,,30772.0,25161.0,0.5371,604.0,,,,33280.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,46601.0,19777.0,31404.0,2284.0,1898.0,2977.0,4283.0,0.0517,76.0
KABUPATEN PURWAKARTA,2020-01-01,0.2,1.04,0.0827,78.45,70.82,0.3306,19300.0,4609.0,9178.0,6723.0,6530.0,7055.0,11460.0,3062.0,1642.0,394.0,354.0,777.0,708.0,628.0,689.0,1259.0,1392.0,16.0,,,,,,17386.0,15021.0,0.6219,444.0,,,,17650.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,21805.0,18067.0,17108.0,1013.0,272.0,2648.0,8051.0,0.1269,47.0
KABUPATEN KARAWANG,2020-01-01,0.25,1.28,0.08259999999999999,80.23,70.66,0.1921,44495.0,10563.0,13795.0,13453.0,13646.0,15485.0,16301.0,8266.0,8020.0,816.0,922.0,1346.0,1478.0,1262.0,1113.0,2503.0,2227.0,32.0,,,,,,42304.0,36214.0,0.6815000000000001,1056.0,,,,43049.0,,,,,,,,,2.0,0.0,0.0,7.0,0.0,40661.0,31527.0,34780.0,1039.0,330.0,4647.0,3982.0,0.0254,87.0
KABUPATEN BEKASI,2020-01-01,0.18,0.72,0.0482,82.58,74.07,0.2883,85125.0,8773.0,16202.0,12558.0,12401.0,14990.0,17818.0,7303.0,835.0,267.0,579.0,499.0,1029.0,992.0,996.0,1835.0,1759.0,84.0,,,,,,1223.0,31860.0,0.6553,375.0,,,,77402.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,40549.0,35689.0,36350.0,11470.0,439.0,6723.0,9373.0,0.0427,127.0
KABUPATEN BANDUNG BARAT,2020-01-01,0.25,1.4,0.1049,80.52,68.08,0.3223,33925.0,8550.0,12384.0,19033.0,10153.0,12705.0,14589.0,5739.0,2047.0,427.0,436.0,838.0,713.0,986.0,719.0,1808.0,1289.0,21.0,,,,,,28277.0,28663.0,0.7212000000000001,723.0,,,,30558.0,,,,,,,,,0.0,0.0,0.0,15.0,0.0,40989.0,23742.0,35067.0,1061.0,195.0,6130.0,15440.0,0.13570000000000002,84.0
KABUPATEN PANGANDARAN,2020-01-01,0.28,1.32,0.08990000000000001,79.08,68.06,0.5095000000000001,6244.0,2178.0,2263.0,2179.0,1839.0,2365.0,2714.0,1141.0,767.0,84.0,120.0,150.0,183.0,213.0,154.0,386.0,287.0,5.0,,,,,,5978.0,4502.0,0.8484,268.0,,,,6136.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,7346.0,3190.0,5725.0,311.0,126.0,161.0,1312.0,0.0587,18.0
KOTA BOGOR,2020-01-01,0.26,1.08,0.0668,82.48,76.11,0.3049,20902.0,,,,,,,,1545.0,,,,,,,,,,,,,,,16911.0,,0.5371,301.0,,,,18792.0,,,,,,,,,0.0,95.0,0.0,74.0,0.0,,,,,,2915.0,5948.0,0.0765,
KOTA SUKABUMI,2020-01-01,0.22,1.17,0.077,80.65,74.21,0.2654,6215.0,,,,,,,,417.0,,,,,,,,,,,,,,,5729.0,,0.7739,264.0,,,,6167.0,,,,,,,,,0.0,29.0,0.0,14.0,0.0,,,,,,1333.0,1616.0,0.0732,
KOTA BANDUNG,2020-01-01,0.13,0.61,0.039900000000000005,83.51,81.51,0.2654,42863.0,,,,,,,,1785.0,,,,,,,,,,,,,,,37366.0,,0.5667,1004.0,,,,34414.0,,,,,,,,,2.0,0.0,1.0,40.0,0.0,,,,,,7910.0,9508.0,0.0886,
KOTA CIREBON,2020-01-01,0.4,1.68,0.0952,80.4,74.89,0.3645000000000001,5713.0,,,,,,,,518.0,,,,,,,,,,,,,,,5240.0,,0.7206,240.0,,,,5189.0,,,,,,,,,12.0,0.0,0.0,41.0,0.0,,,,,,2149.0,2360.0,0.1375,
KOTA BEKASI,2020-01-01,0.15,0.6,0.0438,84.63,81.5,0.2612,57307.0,,,,,,,,1614.0,,,,,,,,,,,,,,,46380.0,,0.4703,326.0,,,,46126.0,,,,,,,,,11.0,48.0,0.0,4.0,0.0,,,,,,8228.0,13964.0,0.1035,
KOTA DEPOK,2020-01-01,0.06,0.29,0.0245,83.75,80.97,0.2441,48928.0,,,,,,,,3496.0,,,,,,,,,,,,,,,34046.0,,0.6849,276.0,,,,44511.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,,,,,5948.0,6425.0,0.0809,
KOTA CIMAHI,2020-01-01,0.18,0.75,0.051100000000000007,83.12,77.83,0.2358,11528.0,,,,,,,,332.0,,,,,,,,,,,,,,,9999.0,,0.7646999999999999,207.0,,,,10402.0,,,,,,,,,0.0,0.0,0.0,24.0,0.0,,,,,,2491.0,3708.0,0.1152,
KOTA TASIKMALAYA,2020-01-01,0.39,1.75,0.1297,80.23,73.04,0.2841,12181.0,,,,,,,,1265.0,,,,,,,,,,,,,,,12004.0,,0.6831,369.0,,,,11845.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,3738.0,7746.0,0.1757,
KOTA BANJAR,2020-01-01,0.12,0.7,0.0609,78.45,,0.3772,3104.0,821.0,889.0,927.0,728.0,883.0,959.0,610.0,578.0,30.0,49.0,46.0,65.0,60.0,70.0,89.0,159.0,0.0,,,,,,2177.0,1908.0,0.8172,122.0,,,,2979.0,,,,,,,,,0.0,0.0,0.0,4.0,0.0,2755.0,1480.0,2609.0,68.0,51.0,1086.0,1355.0,0.1381,1.0
KABUPATEN BOGOR,2021-01-01,,,,79.02,,0.675,,28376.0,38052.0,37153.0,32158.0,38480.0,46902.0,23041.0,,1901.0,3474.0,5703.0,7562.0,2961.0,3560.0,10274.0,10073.0,136.0,,,,,,,88184.0,,1383.0,,,,109561.0,,,,,,,,,,,,,,128793.0,85812.0,114830.0,,806.0,16821.0,30844.0,0.0959,144.0
KABUPATEN SUKABUMI,2021-01-01,,,,78.78,,0.2775,,19830.0,23999.0,23465.0,19934.0,25086.0,30043.0,14037.0,,2805.0,2333.0,7342.0,6435.0,3229.0,2971.0,9568.0,8582.0,23.0,,,,,,,48959.0,,2015.0,,,,45196.0,,,,,,,,,,,,,,71774.0,38930.0,69340.0,,1293.0,6099.0,14347.0,0.0733,56.0
KABUPATEN CIANJUR,2021-01-01,,,,77.42,,0.3215,,15285.0,17708.0,16927.0,11513.0,17901.0,21126.0,9383.0,,1415.0,1955.0,3746.0,4547.0,1952.0,1588.0,5626.0,4765.0,28.0,,,,,,,46316.0,,1085.0,,,,42225.0,,,,,,,,,,,,,,63885.0,35429.0,55961.0,,1074.0,5788.0,7768.0,0.0423,57.0
KABUPATEN BANDUNG,2021-01-01,,,,82.65,,0.2218,,19393.0,25469.0,24261.0,19215.0,24936.0,29013.0,14813.0,,1827.0,1965.0,4866.0,4637.0,2288.0,2000.0,7298.0,6476.0,28.0,,,,,,,60302.0,,1974.0,,,,73888.0,,,,,,,,,,,,,,93968.0,53798.0,81370.0,,1425.0,8809.0,20461.0,0.0885,63.0
KABUPATEN GARUT,2021-01-01,,,,79.37,,0.2313,,17161.0,21803.0,20300.0,16348.0,22742.0,28060.0,10797.0,,2083.0,1884.0,6240.0,5051.0,2640.0,2229.0,8408.0,7439.0,38.0,,,,,,,51268.0,,1786.0,,,,60424.0,,,,,,,,,,,,,,70474.0,37239.0,61374.0,,639.0,313.0,10027.0,0.0478,102.0
KABUPATEN TASIKMALAYA,2021-01-01,,,,76.42,,0.2591,,9800.0,12322.0,11094.0,8124.0,12242.0,15657.0,5840.0,,1481.0,1549.0,4330.0,4479.0,2244.0,2029.0,7501.0,6109.0,35.0,,,,,,,30093.0,,1266.0,,,,29950.0,,,,,,,,,,,,,,44877.0,20804.0,34521.0,,1210.0,4572.0,15183.0,0.1493,96.0
KABUPATEN CIAMIS,2021-01-01,,,,80.03,,0.2552,,7297.0,9324.0,8739.0,6523.0,8767.0,10459.0,4937.0,,1001.0,964.0,2443.0,2259.0,1136.0,1246.0,3290.0,3492.0,10.0,,,,,,,18101.0,,794.0,,,,18438.0,,,,,,,,,,,,,,26422.0,14757.0,23089.0,,923.0,2368.0,3303.0,0.0483,41.0
KABUPATEN KUNINGAN,2021-01-01,,,,82.74,,0.2394,,7878.0,8710.0,8672.0,7192.0,8259.0,9104.0,6394.0,,787.0,806.0,2858.0,3027.0,958.0,968.0,4516.0,4010.0,52.0,,,,,,,25213.0,,1046.0,,,,18469.0,,,,,,,,,,,,,,29992.0,20945.0,28637.0,,288.0,2461.0,3665.0,0.0537,18.0
KABUPATEN CIREBON,2021-01-01,,,,80.28,,0.308,,19678.0,24850.0,24888.0,22157.0,26108.0,30053.0,16978.0,,1823.0,2651.0,6155.0,6601.0,2928.0,2949.0,8860.0,9060.0,51.0,,,,,,,58144.0,,1110.0,,,,46341.0,,,,,,,,,,,,,,72750.0,53589.0,62897.0,,1296.0,13385.0,15220.0,0.0936,137.0
KABUPATEN MAJALENGKA,2021-01-01,,,,77.63,,0.2636,,10133.0,11804.0,11756.0,8183.0,11509.0,12537.0,6992.0,,780.0,960.0,2281.0,2974.0,746.0,843.0,3413.0,3523.0,177.0,,,,,,,23841.0,,745.0,,,,19835.0,,,,,,,,,,,,,,33622.0,21071.0,33143.0,,345.0,3705.0,2934.0,0.0352,43.0
KABUPATEN SUMEDANG,2021-01-01,,,,80.95,,0.2241,,7014.0,8104.0,8016.0,6281.0,7837.0,8707.0,5252.0,,782.0,902.0,2232.0,2338.0,707.0,711.0,2292.0,2303.0,6.0,,,,,,,17413.0,,455.0,,,,17881.0,,,,,,,,,,,,,,24823.0,15461.0,22947.0,,743.0,2382.0,8117.0,0.1103,33.0
KABUPATEN INDRAMAYU,2021-01-01,,,,79.75,,0.3123,,9932.0,13856.0,13836.0,11640.0,13587.0,16861.0,7880.0,,301.0,696.0,882.0,2255.0,748.0,603.0,2085.0,1571.0,37.0,,,,,,,33184.0,,948.0,,,,28613.0,,,,,,,,,,,,,,37977.0,26697.0,36314.0,,235.0,5586.0,5208.0,0.0483,127.0
KABUPATEN SUBANG,2021-01-01,,,,80.89,,0.2153,,9177.0,11342.0,11159.0,8236.0,11448.0,13141.0,7581.0,,681.0,812.0,2162.0,2635.0,1183.0,1493.0,3759.0,5891.0,27.0,,,,,,,28723.0,,491.0,,,,33340.0,,,,,,,,,,,,,,49342.0,22870.0,33006.0,,817.0,2736.0,2088.0,0.0245,77.0
KABUPATEN PURWAKARTA,2021-01-01,,,,78.74,,0.2784,,7553.0,11268.0,11171.0,7778.0,9144.0,12348.0,6554.0,,573.0,562.0,1350.0,1270.0,789.0,783.0,2048.0,2175.0,17.0,,,,,,,18729.0,,371.0,,,,18082.0,,,,,,,,,,,,,,23457.0,21443.0,18987.0,,490.0,922.0,3709.0,0.0558,46.0
KABUPATEN KARAWANG,2021-01-01,,,,80.51,,0.1512,,9620.0,12829.0,12443.0,11511.0,13494.0,16101.0,8574.0,,637.0,919.0,1983.0,2397.0,1142.0,1016.0,3645.0,3243.0,30.0,,,,,,,40309.0,,862.0,,,,37657.0,,,,,,,,,,,,,,42705.0,35437.0,38327.0,,286.0,2914.0,3715.0,0.023,83.0
KABUPATEN BEKASI,2021-01-01,,,,82.78,,0.386,,10322.0,16402.0,15626.0,14923.0,17117.0,21980.0,8568.0,,274.0,597.0,773.0,1626.0,1016.0,1020.0,2851.0,2779.0,137.0,,,,,,,37613.0,,328.0,,,,76801.0,,,,,,,,,,,,,,45803.0,39475.0,39035.0,,629.0,15485.0,8755.0,0.0392,232.0
KABUPATEN BANDUNG BARAT,2021-01-01,,,,80.8,,0.197,,12880.0,15305.0,15268.0,11391.0,14440.0,16498.0,9482.0,,498.0,636.0,1336.0,1349.0,1033.0,836.0,2841.0,2125.0,18.0,,,,,,,37118.0,,548.0,,,,23679.0,,,,,,,,,,,,,,50043.0,33519.0,45953.0,,249.0,5210.0,12488.0,0.1185,82.0
KABUPATEN PANGANDARAN,2021-01-01,,,,79.38,,0.3758,,2175.0,2621.0,2561.0,2182.0,2575.0,3043.0,1788.0,,139.0,192.0,289.0,375.0,252.0,298.0,638.0,585.0,5.0,,,,,,,5483.0,,291.0,,,,6020.0,,,,,,,,,,,,,,9020.0,5629.0,7287.0,,145.0,347.0,999.0,0.042,16.0
KOTA BOGOR,2021-01-01,,,,82.8,,0.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,,,17613.0,,,,,,,,,,,,,,,,,,,2990.0,3950.0,0.054000000000000006,
KOTA SUKABUMI,2021-01-01,,,,80.89,,0.1606,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,5771.0,,,,,,,,,,,,,,,,,,,621.0,1180.0,0.059,
KOTA BANDUNG,2021-01-01,,,,83.78,,0.1427,,,,,,,,,,,,,,,,,,,,,,,,,,,546.0,,,,38017.0,,,,,,,,,,,,,,,,,,,4996.0,6312.0,0.0783,
KOTA CIREBON,2021-01-01,,,,80.68,,0.1929,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,,5081.0,,,,,,,,,,,,,,,,,,,2394.0,2411.0,0.13390000000000002,
KOTA BEKASI,2021-01-01,,,,84.91,,0.2546,,,,,,,,,,,,,,,,,,,,,,,,,,,851.0,,,,44445.0,,,,,,,,,,,,,,,,,,,5662.0,9820.0,0.0787,
KOTA DEPOK,2021-01-01,,,,84.03,,0.1549,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,,,,41778.0,,,,,,,,,,,,,,,,,,,2397.0,3726.0,0.0351,
KOTA CIMAHI,2021-01-01,,,,83.4,,0.1623,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,,10096.0,,,,,,,,,,,,,,,,,,,1221.0,3161.0,0.0994,
KOTA TASIKMALAYA,2021-01-01,,,,80.52,,0.1837,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,,,,11520.0,,,,,,,,,,,,,,,,,,,3766.0,6194.0,0.15460000000000002,
KOTA BANJAR ,2019-01-01,,,,,71.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA BANJAR ,2020-01-01,,,,,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA BANJAR,2021-01-01,,,,,,0.1371,,851.0,910.0,896.0,666.0,893.0,956.0,618.0,,45.0,78.0,91.0,143.0,47.0,47.0,136.0,206.0,1.0,,,,,,,1833.0,,,,,,2849.0,,,,,,,,,,,,,,3004.0,1378.0,2788.0,,83.0,603.0,929.0,0.0885,1.0
