nama_kabupaten_kota,tahun,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_stunting,persentase_balita_stunting,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,jumlah_balita_gizi_kurang,kab/kota
KABUPATEN BOGOR,2010-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2010-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2010-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2010-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2010-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2010-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2010-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2010-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2010-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2010-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2010-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2010-01-01,,,,,,,,,,,,,,,,Indramayu
KABUPATEN SUBANG,2010-01-01,,,,,,,,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2010-01-01,,,,,,,,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2010-01-01,,,,,,,,,,,,,,,,Karawang
KABUPATEN BEKASI,2010-01-01,,,,,,,,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2010-01-01,,,,,,,,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2010-01-01,,,,,,,,,,,,,,,,Pangandaran
KOTA BOGOR,2010-01-01,,,,,,,,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2010-01-01,,,,,,,,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2010-01-01,,,,,,,,,,,,,,,,Kota Bandung
KOTA CIREBON,2010-01-01,,,,,,,,,,,,,,,,Kota Cirebon
KOTA BEKASI,2010-01-01,,,,,,,,,,,,,,,,Kota Bekasi
KOTA DEPOK,2010-01-01,,,,,,,,,,,,,,,,Kota Depok
KOTA CIMAHI,2010-01-01,,,,,,,,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2010-01-01,,,,,,,,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2010-01-01,,,,,,,,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2011-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2011-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2011-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2011-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2011-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2011-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2011-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2011-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2011-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2011-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2011-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2011-01-01,,,,,,,,,,,,,,,,Indramayu
KABUPATEN SUBANG,2011-01-01,,,,,,,,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2011-01-01,,,,,,,,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2011-01-01,,,,,,,,,,,,,,,,Karawang
KABUPATEN BEKASI,2011-01-01,,,,,,,,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2011-01-01,,,,,,,,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2011-01-01,,,,,,,,,,,,,,,,Pangandaran
KOTA BOGOR,2011-01-01,,,,,,,,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2011-01-01,,,,,,,,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2011-01-01,,,,,,,,,,,,,,,,Kota Bandung
KOTA CIREBON,2011-01-01,,,,,,,,,,,,,,,,Kota Cirebon
KOTA BEKASI,2011-01-01,,,,,,,,,,,,,,,,Kota Bekasi
KOTA DEPOK,2011-01-01,,,,,,,,,,,,,,,,Kota Depok
KOTA CIMAHI,2011-01-01,,,,,,,,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2011-01-01,,,,,,,,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2011-01-01,,,,,,,,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2012-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2012-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2012-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2012-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2012-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2012-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2012-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2012-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2012-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2012-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2012-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2012-01-01,,,,,,,,,,,,,,,,Indramayu
KABUPATEN SUBANG,2012-01-01,,,,,,,,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2012-01-01,,,,,,,,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2012-01-01,,,,,,,,,,,,,,,,Karawang
KABUPATEN BEKASI,2012-01-01,,,,,,,,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2012-01-01,,,,,,,,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2012-01-01,,,,,,,,,,,,,,,,Pangandaran
KOTA BOGOR,2012-01-01,,,,,,,,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2012-01-01,,,,,,,,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2012-01-01,,,,,,,,,,,,,,,,Kota Bandung
KOTA CIREBON,2012-01-01,,,,,,,,,,,,,,,,Kota Cirebon
KOTA BEKASI,2012-01-01,,,,,,,,,,,,,,,,Kota Bekasi
KOTA DEPOK,2012-01-01,,,,,,,,,,,,,,,,Kota Depok
KOTA CIMAHI,2012-01-01,,,,,,,,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2012-01-01,,,,,,,,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2012-01-01,,,,,,,,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2013-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2013-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2013-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2013-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2013-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2013-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2013-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2013-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2013-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2013-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2013-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2013-01-01,,,,,,,,,,,,,,,,Indramayu
KABUPATEN SUBANG,2013-01-01,,,,,,,,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2013-01-01,,,,,,,,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2013-01-01,,,,,,,,,,,,,,,,Karawang
KABUPATEN BEKASI,2013-01-01,,,,,,,,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2013-01-01,,,,,,,,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2013-01-01,,,,,,,,,,,,,,,,Pangandaran
KOTA BOGOR,2013-01-01,,,,,,,,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2013-01-01,,,,,,,,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2013-01-01,,,,,,,,,,,,,,,,Kota Bandung
KOTA CIREBON,2013-01-01,,,,,,,,,,,,,,,,Kota Cirebon
KOTA BEKASI,2013-01-01,,,,,,,,,,,,,,,,Kota Bekasi
KOTA DEPOK,2013-01-01,,,,,,,,,,,,,,,,Kota Depok
KOTA CIMAHI,2013-01-01,,,,,,,,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2013-01-01,,,,,,,,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2013-01-01,,,,,,,,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2014-01-01,,,,,,40314.0,0.0904,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2014-01-01,,,,,,25332.0,0.1221,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2014-01-01,,,,,,26687.0,0.1433,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2014-01-01,,,,,,46412.0,0.1714,,,,,,,,,Bandung
KABUPATEN GARUT,2014-01-01,,,,,,14609.0,0.0712,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2014-01-01,,,,,,28481.0,0.238,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2014-01-01,,,,,,2929.0,0.0512,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2014-01-01,,,,,,6551.0,0.0751999999999999,,,,,,,,,Kuningan
KABUPATEN CIREBON,2014-01-01,,,,,,22805.0,0.1294,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2014-01-01,,,,,,9396.0,0.1043,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2014-01-01,,,,,,0.0,0.0,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2014-01-01,,,,,,0.0,0.0,,,,,,,,,Indramayu
KABUPATEN SUBANG,2014-01-01,,,,,,4152.0,0.0355,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2014-01-01,,,,,,6091.0,0.08,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2014-01-01,,,,,,23912.0,0.1379,,,,,,,,,Karawang
KABUPATEN BEKASI,2014-01-01,,,,,,23473.0,0.102,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2014-01-01,,,,,,20233.0,0.1636,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2014-01-01,,,,,,6055.0,0.0762999999999999,,,,,,,,,Pangandaran
KOTA BOGOR,2014-01-01,,,,,,2601.0,0.1178,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2014-01-01,,,,,,11761.0,0.0868,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2014-01-01,,,,,,2466.0,0.1134,,,,,,,,,Kota Bandung
KOTA CIREBON,2014-01-01,,,,,,22993.0,0.1363,,,,,,,,,Kota Cirebon
KOTA BEKASI,2014-01-01,,,,,,10106.0,0.0843,,,,,,,,,Kota Bekasi
KOTA DEPOK,2014-01-01,,,,,,6199.0,0.1747,,,,,,,,,Kota Depok
KOTA CIMAHI,2014-01-01,,,,,,6859.0,0.1319,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2014-01-01,,,,,,912.0,0.0678,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2014-01-01,,,,,,660.0,0.0317,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2015-01-01,,,,,,33721.0,0.0738,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2015-01-01,,,,,,20488.0,0.0972,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2015-01-01,,,,,,26582.0,0.1494,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2015-01-01,,,,,,16357.0,0.0834,,,,,,,,,Bandung
KABUPATEN GARUT,2015-01-01,,,,,,16624.0,0.0767,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2015-01-01,,,,,,18697.0,0.1675,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2015-01-01,,,,,,2236.0,0.0283,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2015-01-01,,,,,,3976.0,0.0787,,,,,,,,,Kuningan
KABUPATEN CIREBON,2015-01-01,,,,,,22667.0,0.1256,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2015-01-01,,,,,,5785.0,0.0633,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2015-01-01,,,,,,2164.0,0.1527,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2015-01-01,,,,,,17049.0,0.2144,,,,,,,,,Indramayu
KABUPATEN SUBANG,2015-01-01,,,,,,3005.0,0.0256,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2015-01-01,,,,,,7820.0,0.1018,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2015-01-01,,,,,,24795.0,0.1409,,,,,,,,,Karawang
KABUPATEN BEKASI,2015-01-01,,,,,,20699.0,0.0892999999999999,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2015-01-01,,,,,,14809.0,0.1156,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2015-01-01,,,,,,7030.0,0.0861,,,,,,,,,Pangandaran
KOTA BOGOR,2015-01-01,,,,,,1975.0,0.1037,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2015-01-01,,,,,,12142.0,0.0896,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2015-01-01,,,,,,2778.0,0.1283,,,,,,,,,Kota Bandung
KOTA CIREBON,2015-01-01,,,,,,18145.0,0.1164,,,,,,,,,Kota Cirebon
KOTA BEKASI,2015-01-01,,,,,,8952.0,0.0739,,,,,,,,,Kota Bekasi
KOTA DEPOK,2015-01-01,,,,,,6298.0,0.1735,,,,,,,,,Kota Depok
KOTA CIMAHI,2015-01-01,,,,,,7769.0,0.1581,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2015-01-01,,,,,,908.0,0.0677,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2015-01-01,,,,,,1194.0,0.0456,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2016-01-01,,,,,,32035.0,0.0687,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2016-01-01,,,,,,28376.0,0.1342,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2016-01-01,,,,,,26666.0,0.1342,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2016-01-01,,,,,,20391.0,0.0751999999999999,,,,,,,,,Bandung
KABUPATEN GARUT,2016-01-01,,,,,,15305.0,0.0681,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2016-01-01,,,,,,17563.0,0.1575,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2016-01-01,,,,,,4092.0,0.104,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2016-01-01,,,,,,7205.0,0.0834,,,,,,,,,Kuningan
KABUPATEN CIREBON,2016-01-01,,,,,,24626.0,0.1342,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2016-01-01,,,,,,3257.0,0.0338,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2016-01-01,,,,,,9688.0,0.1164,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2016-01-01,,,,,,26430.0,0.2349,,,,,,,,,Indramayu
KABUPATEN SUBANG,2016-01-01,,,,,,5757.0,0.0497,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2016-01-01,,,,,,7803.0,0.0994,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2016-01-01,,,,,,23411.0,0.1382,,,,,,,,,Karawang
KABUPATEN BEKASI,2016-01-01,,,,,,10843.0,0.054,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2016-01-01,,,,,,10734.0,0.0791999999999999,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2016-01-01,,,,,,1284.0,0.0511,,,,,,,,,Pangandaran
KOTA BOGOR,2016-01-01,,,,,,6794.0,0.0758,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2016-01-01,,,,,,2457.0,0.1057,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2016-01-01,,,,,,9194.0,0.0643,,,,,,,,,Kota Bandung
KOTA CIREBON,2016-01-01,,,,,,2767.0,0.1243,,,,,,,,,Kota Cirebon
KOTA BEKASI,2016-01-01,,,,,,16707.0,0.1106,,,,,,,,,Kota Bekasi
KOTA DEPOK,2016-01-01,,,,,,8850.0,0.0701,,,,,,,,,Kota Depok
KOTA CIMAHI,2016-01-01,,,,,,5605.0,0.1418,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2016-01-01,,,,,,7145.0,0.1401,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2016-01-01,,,,,,1154.0,0.0867,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2017-01-01,,,,,,23797.0,0.0538,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2017-01-01,,,,,,22776.0,0.1093,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2017-01-01,,,,,,27625.0,0.1392,,,,,,,,,Cianjur
